year,month,time,price,wprice,pop
2015,1,11:27:51,73700,,
2015,1,11:27:52,73700,,
2015,1,11:27:53,73700,,
2015,1,11:27:54,73700,,
2015,1,11:27:55,73700,,
2015,1,11:27:56,73700,,
2015,1,11:27:57,73700,,
2015,1,11:27:58,73700,,
2015,1,11:27:59,73700,,
2015,1,11:28:00,73700,,
2015,1,11:28:01,73700,,
2015,1,11:28:02,73700,,
2015,1,11:28:03,73700,,
2015,1,11:28:04,73700,,
2015,1,11:28:05,73700,,
2015,1,11:28:06,73700,,
2015,1,11:28:07,73700,,
2015,1,11:28:08,73700,,
2015,1,11:28:09,73700,,
2015,1,11:28:10,73800,,
2015,1,11:28:11,73800,,
2015,1,11:28:12,73800,,
2015,1,11:28:13,73800,,
2015,1,11:28:14,73800,,
2015,1,11:28:15,73800,,
2015,1,11:28:16,73800,,
2015,1,11:28:17,73800,,
2015,1,11:28:18,73800,,
2015,1,11:28:19,73800,,
2015,1,11:28:20,73800,,
2015,1,11:28:21,73800,,
2015,1,11:28:22,73800,,
2015,1,11:28:23,73800,,
2015,1,11:28:24,73900,,
2015,1,11:28:25,73900,,
2015,1,11:28:26,73900,,
2015,1,11:28:27,73900,,
2015,1,11:28:28,73900,,
2015,1,11:28:29,73900,,
2015,1,11:28:30,73900,,
2015,1,11:28:31,73900,,
2015,1,11:28:32,73900,,
2015,1,11:28:33,73900,,
2015,1,11:28:34,73900,,
2015,1,11:28:35,74000,,
2015,1,11:28:36,74000,,
2015,1,11:28:37,74000,,
2015,1,11:28:38,74000,,
2015,1,11:28:39,74000,,
2015,1,11:28:40,74000,,
2015,1,11:28:41,74000,,
2015,1,11:28:42,74000,,
2015,1,11:28:43,74000,,
2015,1,11:28:44,74000,,
2015,1,11:28:45,74000,,
2015,1,11:28:46,74000,,
2015,1,11:28:47,74000,,
2015,1,11:28:48,74000,,
2015,1,11:28:49,74000,,
2015,1,11:28:50,74000,,
2015,1,11:28:51,74000,,
2015,1,11:28:52,74000,,
2015,1,11:28:53,74000,,
2015,1,11:28:54,74000,,
2015,1,11:28:55,74000,,
2015,1,11:28:56,74000,,
2015,1,11:28:57,74000,,
2015,1,11:28:58,74000,,
2015,1,11:28:59,74000,,
2015,1,11:29:00,74000,,
2015,1,11:29:01,74000,,
2015,1,11:29:02,74000,,
2015,1,11:29:03,74000,,
2015,1,11:29:04,74000,,
2015,1,11:29:05,74000,,
2015,1,11:29:06,74000,,
2015,1,11:29:07,74000,,
2015,1,11:29:08,74000,,
2015,1,11:29:09,74000,,
2015,1,11:29:10,74000,,
2015,1,11:29:11,74000,,
2015,1,11:29:12,74000,,
2015,1,11:29:13,74000,,
2015,1,11:29:14,74000,,
2015,1,11:29:15,74000,,
2015,1,11:29:16,74000,,
2015,1,11:29:17,74000,,
2015,1,11:29:18,74000,,
2015,1,11:29:19,74000,,
2015,1,11:29:20,74000,,
2015,1,11:29:21,74000,,
2015,1,11:29:22,74000,,
2015,1,11:29:23,74000,,
2015,1,11:29:24,74000,,
2015,1,11:29:25,74000,,
2015,1,11:29:26,74000,,
2015,1,11:29:27,74000,,
2015,1,11:29:28,74000,,
2015,1,11:29:29,74000,,
2015,1,11:29:30,74000,,
2015,1,11:29:31,74000,,
2015,1,11:29:32,74000,,
2015,1,11:29:33,74000,,
2015,1,11:29:34,74000,,
2015,1,11:29:35,74000,,
2015,1,11:29:36,74000,,
2015,1,11:29:37,74000,,
2015,1,11:29:38,74000,,
2015,1,11:29:39,74000,,
2015,1,11:29:40,74000,,
2015,1,11:29:41,74000,,
2015,1,11:29:42,74000,,
2015,1,11:29:43,74000,,
2015,1,11:29:44,74000,,
2015,1,11:29:45,74000,,
2015,1,11:29:46,74000,,
2015,1,11:29:47,74000,,
2015,1,11:29:48,74000,,
2015,1,11:29:49,74000,,
2015,1,11:29:50,74000,,
2015,1,11:29:51,74000,,
2015,1,11:29:52,74000,,
2015,1,11:29:53,74000,,
2015,1,11:29:54,74000,,
2015,1,11:29:55,74000,,
2015,1,11:29:56,74000,,
2015,1,11:29:57,74000,,
2015,1,11:29:58,74000,,
2015,1,11:29:59,74000,,
2015,1,11:30:00,74000,,
2015,2,11:25:00,74900,,
2015,2,11:25:01,74900,,
